obs_ID,study_ID,shared_trt_ID,cohort_ID,note_ID,author,year,genus,species,class,latitude,zone,habitat,age,trait,unit,c_temp,c_mean,c_sd,c_se,c_n,trt_temp,trt_mean,trt_sd,trt_se,trt_n,temp_diff,notes
1,1,1,1,Treatments re-used in stepwise comparisons,Gunderson,2020,Anolis,sagrei,lizard,29.6,temperate,terrestrial,adult,Ctmax,celsius,26.2,38.9,0.843274,0.266666653,10,28,39.2,1.2516656,0.395811416,10,1.8,Data for females
2,1,1,2,Treatments re-used in stepwise comparisons,Gunderson,2020,Anolis,sagrei,lizard,29.6,temperate,terrestrial,adult,Ctmax,celsius,28,39.2,1.2516656,0.395811416,10,29.4,38.5,0.6666667,0.210818521,10,1.4,Data for females
3,1,2,3,Treatments re-used in stepwise comparisons,Gunderson,2020,Anolis,sagrei,lizard,29.6,temperate,terrestrial,adult,Ctmax,celsius,26.2,38.9,1.0749677,0.339934634,10,28,38.6,0.5676462,0.17950549,10,1.8,Data for males
4,1,2,4,Treatments re-used in stepwise comparisons,Gunderson,2020,Anolis,sagrei,lizard,29.6,temperate,terrestrial,adult,Ctmax,celsius,28,38.6,0.5676462,0.17950549,10,29.4,39.5,1.0954451,0.447213589,6,1.4,Data for males
5,2,3,5,Same cohort ID because nimals were re-used at different time points (2 weeks and 6 weeks),Abayarathna,2019,Amalosia,lesueurii,lizard,-34.89694444,temperate,terrestrial,hatchling,Ctmax,celsius,24.3,39.65714,0.3641036,0.079453919,21,28.9,39.9,0.1414214,0.053452265,7,4.6,"Nowra population, 2-week old individuals"
6,2,4,5,Same cohort ID because nimals were re-used at different time points (2 weeks and 6 weeks),Abayarathna,2019,Amalosia,lesueurii,lizard,-34.89694444,temperate,terrestrial,hatchling,Ctmax,celsius,24.3,39.82,0.35629674,0.079670373,20,28.9,40.01667,0.07527727,0.030731817,6,4.6,"Nowra population, 6-week old individuals"
7,2,5,6,"Same cohort ID because nimals were re-used at different time points (2 weeks, 6 weeks and 6 months)",Abayarathna,2019,Amalosia,lesueurii,lizard,-34.07611111,temperate,terrestrial,hatchling,Ctmax,celsius,24.3,39.76154,0.3686427,0.102243089,13,28.9,40.01,0.3034981,0.095974526,10,4.6,"Dhawaral population, 2-week old individuals"
8,2,6,6,"Same cohort ID because nimals were re-used at different time points (2 weeks, 6 weeks and 6 months)",Abayarathna,2019,Amalosia,lesueurii,lizard,-34.07611111,temperate,terrestrial,hatchling,Ctmax,celsius,24.3,39.97692,0.20064,0.055647524,13,28.9,40.03,0.28303906,0.08950481,10,4.6,"Dhawaral population, 6-week old individuals"
9,2,7,6,"Same cohort ID because nimals were re-used at different time points (2 weeks, 6 weeks and 6 months)",Abayarathna,2019,Amalosia,lesueurii,lizard,-34.07611111,temperate,terrestrial,hatchling,Ctmax,celsius,24.3,39.92857,0.213809,0.080812206,7,28.9,40.16,0.2073644,0.092736179,5,4.6,"Dhawaral population, 6-month old individuals"
10,3,8,7,,Dayananda,2017,Amalosia,lesueurii,lizard,-34.07611111,temperate,terrestrial,hatchling,Ctmax,celsius,23.2,40.25556,0.6424778,0.214159267,9,27,38.69,0.4306326,0.136177985,10,3.8,Dhawaral population
11,3,9,8,,Dayananda,2017,Amalosia,lesueurii,lizard,-34.985,temperate,terrestrial,hatchling,Ctmax,celsius,23.2,40.15455,0.5465595,0.16479389,11,27,38.69091,0.4182213,0.126098466,11,3.8,Morton population
