fasting_date,fasting_enclosure,trial_date,start_time,end_time,notes,lane_number,bd_liz_id,toeClip,sex,mating_encl_ID,body_size,mass,trt,mean_temp,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8,temp_9,temp_10,temp_11,temp_12,temp_13,temp_14,temp_15,temp_16,temp_17,temp_18,temp_19,temp_20,temp_21,temp_22,temp_23,temp_24,temp_25,temp_26,temp_27,temp_28,temp_29,temp_30,temp_32,temp_33
4/10/20,1,5/10/20,,,,2,LD601,1012,f,E008_M,1.294,,A-23,33.06071429,34.4,33.9,25.5,31.5,29.6,30,30.8,31.1,32.8,33.8,35.4,34.6,,35.1,31.5,33.4,34.5,33.9,35.4,33.5,33.6,34.6,35.8,34.2,34,32.8,33.8,33.5,32.7,,,
,2,,,,,3,LD640,2333,m,E008_M,0.85,,A-23,30.1037037,34.3,32,35.1,26.9,28.1,26.2,31.3,27.2,30.5,30.9,,33.3,29.6,32.5,29.4,30,30.4,29.7,,26.4,31.9,32.2,23.6,30.6,31.8,33.2,28.9,,29.8,27,,
,3,,,,,4,LD647,2003,f,E011_M,1.266,,A-28,33.41,33.2,34.8,35.7,33.4,31.4,32.5,34.3,33.5,33.1,33.5,33.5,34.4,34.2,34.7,32.4,34.6,32.4,31,33.5,33.1,32.5,31.7,32.9,34.9,34.9,33.9,35.6,35.4,32.3,29,,
,4,,,,,5,LD646,5430,m,E010_M,1.127,,A-28,30.24137931,29.5,33.4,35.6,23,32,29.3,31.3,26.7,28.3,28.3,26.8,29.3,28.4,30.8,33,31.3,31.6,28.5,31.6,32.3,32.5,32.3,29.1,26.8,31.7,32.8,27.7,,30.8,32.3,,
,5,,,,,6,LD644,5220,f,E013_M,1.2,,C-23,32.24,30.7,32.8,34.9,31.5,26.6,29,33.6,34.2,31.9,34.4,33.1,35.1,33.8,32.7,34.4,30.4,31.9,32.5,34.1,34.3,32,32.9,25.6,32.7,32.3,33.7,32,32.3,30.7,31.1,,
,6,,,,,7,LD610,4500,m,E014_M,0.92,,C-23,31.77241379,31.2,30.2,35.2,33.5,29.8,31.5,28.4,31.4,32.1,32.5,32.6,32.3,32.3,,32.8,32,33.1,30.5,31.9,31.6,33,32.7,32.4,33.9,31,32.9,31.6,33.3,27.8,27.9,,
,7,,,,,8,LD579,402,f,E012_M,1.481,,C-28,26.72083333,31.9,34.5,35.2,37.3,22.8,33,32.1,33.9,31.6,34,32.3,28.6,31.5,30.3,,,35.1,,,17,9.5,9.4,9,10,9.9,,30,30.8,31.6,,,
,8,,,,,9,LD631,3030,m,E019_M,1.098,,C-28,30.78518519,16.4,14.2,32.5,33,30.8,31.7,29.6,32.5,30.1,30.4,35.4,33,33.4,,,,32.8,34.6,30.7,29.3,33,33.6,33.7,31.5,32.3,28.8,31,32.8,33.3,30.8,,
2/10/20,1,5/10/20,09:41,17:26,,2,LD617,1004,f,E009_M,1.794,,A-23,32.95,,32,35.7,31.7,30.9,31.9,29.3,32.3,37.3,30.6,,,,33.4,35.3,,,33.5,32.3,33.3,,,,32.9,33.9,,,31.5,,34.5,35.4,31.3
,2,,,,,3,LD645,2435,m,E009_M,1.551,,A-23,32.08125,29,32.2,32.2,32.6,33.1,31.1,31,33.1,31.7,31.4,31.7,32.8,30.1,31.4,31.1,30.9,30.6,31.5,32.9,31,31.2,32.7,31.5,32.1,33.1,32.2,32.3,32.5,37.2,34.5,34.5,31.4
,3,,,,,4,LD630,3411,f,E011_M,1.525,,A-28,31.040625,28.5,32.6,25.5,33.2,31.6,29.5,33.7,32.4,28.5,32.8,32.8,33.4,30.9,30.4,30.2,31,29.6,32.8,34,30.9,31.4,31.7,31.5,30.8,25.9,31.8,30.7,31.6,31.1,31.6,32.3,28.6
,4,,,,,5,LD583,2301,m,E011_M,0.94,,A-28,32.48125,33.3,33.5,34,32.6,33.1,31.3,32.3,32.7,31.1,30.4,30.1,32.4,32.6,33.4,31.4,32.6,33.8,32.8,31.4,32.4,31.7,33.6,33.7,34.2,31.8,33.5,31.4,29.7,32.1,30.9,34.3,35.3
,5,,,,,6,LD636,4232,f,E013_M,1.775,,C-23,29.8875,33.6,34.2,30.6,31.7,30.2,32.3,32.9,31.2,21.5,29.9,30.5,30.2,31.5,24.8,27,31.6,32.5,31.3,28.6,29.7,32,26.8,26.2,31.4,27.8,27.2,31.5,25.3,30.5,30.6,30.4,30.9
,6,,,,,7,LD641,1030,m,E016_M,1.235,,C-23,31.5875,25.3,31.8,32.6,34,30.2,30.1,30.4,33.3,32.6,30.6,31.5,31.1,29.6,31.4,30.4,31.1,30.7,32.1,33.8,30.1,31.6,32.8,33.3,33.8,31.6,31.6,33,33.1,31,32.1,32.6,31.6
,7,,,,,8,LD600,2200,f,E016_M,1.664,,C-28,32.65666667,20.2,24.5,33,32.6,32.9,26.7,33.6,33,33.1,32.2,32.8,31.8,32.2,,28.1,33.8,31.8,33,33.6,33.3,32.6,37,32.1,32.5,,32.1,38,34.6,40.3,38.4,35.1,34.8
,8,,,,,9,LD602,2224,m,E017_M,1.201,,C-28,32.95357143,18.9,,,,33.7,31,38.3,34.6,33.3,32.7,37.1,,30.4,33.4,33,32.8,33.1,32.9,36.6,34.2,35,33.5,34.2,36.7,37,37.1,32.5,33.6,27.3,28.5,31.7,29.6
2/10/20,1,6/10/20,09:01,16:46,,2,LD599,3120,f,E007_M,1.497,,A-23,33.15833333,41,31.8,33.2,34.6,,,,29.1,28.5,35.1,27.9,32.8,,33.6,,,35.6,34.7,29.5,,34,,34.6,,,34,34.7,28.9,19.8,17.2,17,29.2
,2,,,,was in the egg chamber thing?,3,LD594,5400,m,E008_M,1.025,,A-23,21.97142857,,14.1,19.2,19.6,12.7,12.1,12,12.3,13,,21.8,,,31.2,31.7,34.4,35.8,37.7,36.4,37,21.3,28.5,32.7,13.4,13.9,,,31,,30.3,30.1,31.4
,3,,,,,4,LD628,2345,f,E009_M,1.727,,A-28,32.31111111,31.9,30.8,33.9,30.8,34.2,33,32.9,32.5,31.3,29.5,33,31,30.4,31.7,32.9,34.2,33.6,34,33.6,33.3,31.5,33.4,31.4,32.5,31.9,33.2,32.6,34.3,32.7,32.1,34.6,31.3
,4,,,,,5,LD622,1340,m,E015_M,1.096,,A-28,22.19444444,11.7,12.4,37.3,27,34.6,29.1,30.9,30.2,17.8,12.9,12.8,31.7,12.9,20.7,15.9,31.2,17.4,13,12.7,12.9,13,12.6,12.9,13.2,14.2,14.7,14.2,15,22.1,33.2,26.3,30.7
,5,,,,,6,LD606,5030,f,E016_M,1.628,,C-23,30.88333333,35.8,38,22.8,30,24.7,32.7,35.7,32.6,30.5,21,36.1,32.8,25.6,32.4,33.3,31.7,33.3,26.9,26.2,26,23.6,32.1,35.2,36.5,33.3,31.8,37.7,31.9,32.4,32.7,23.3,15
,6,,,,,7,LD608,4420,m,E010_M,1.003,,C-23,31.59444444,39.6,33.9,32.4,34,21.8,34.1,33.4,34.8,31.1,28.5,34.5,28,32,28,33.8,32.9,34.4,21.5,33.5,34.2,33.4,30.5,32.9,35.9,39.6,34.5,36.3,32.2,32.4,31.5,29.7,32.6
,7,,,,,8,LD591,1225,f,E017_M,1.18,,C-28,20.99444444,41.2,35,32.4,33,26.3,27.2,41.2,29.4,11.8,11.1,11.3,11.4,11.1,10.8,10.6,11.5,11.1,11.5,11,11.2,11.4,11.1,12.3,12.7,12.2,12.2,12.4,12.1,13.3,12.1,11.6,28
,8,,,,,9,LD609,3100,m,E018_M,1.106,,C-28,31.75,28.3,31.6,33.2,35.4,30.8,33.2,31.3,34.2,31,33.6,33.4,32.7,30.2,28.4,29.5,34.3,29.6,30.8,26.5,33.8,32.6,29.5,32.1,34.9,35.5,36.1,33.4,33.9,31.3,31.5,27.3,36.9
6/10/20,1,7/10/20,08:44,16:29,,2,LG029,3222,f,E008_M,1.287,,A-23,32.01153846,36.4,,27.4,,31.5,,,30.2,30.4,30.6,33.2,32.6,34.6,31.8,29.9,29.1,34.8,31.2,32.9,33.8,,32.2,30.6,32.7,32.5,33.8,,33.4,32.1,32.1,32.3,30.2
,2,,,,,3,LD624,5440,m,E007_M,1.026,,A-23,30.636,13.2,31.9,30.5,,33.3,,31.6,28,,,32,,32.6,,31.6,29.6,32.8,29.9,16.3,31.2,30.6,33.9,33.9,33.2,33.6,29.9,,31.6,34.8,34,34,31.9
,3,,,,,4,LD578,4100,f,E007_M,1.589,,A-28,31.75625,12.4,35.3,32.9,32.3,32.2,31.1,32.8,31,32.5,30.6,33,32.3,30.7,33.8,33.9,32,33.8,32,29.6,31.9,31.7,31.7,33.7,32.2,31,34.2,33.7,32.7,31.2,29.8,34,34.2
,4,,,,jumped into lane 7,5,LD595,5555,m,E011_M,1.165,,A-28,31.45217391,31.2,33.2,31.9,26.9,30.5,25.6,23.1,33.9,33.7,31.4,31.8,30,30.8,31.7,30.2,34,34.6,31.5,34.2,33.5,33.8,33.4,32.5,,,,,,,,,
,5,,,,,6,LD616,5300,f,E015_M,1.073,,C-23,31.446875,26,34,32.5,33.1,25.5,33.1,29.5,36.1,34.6,33.3,29.5,36.1,33.1,31,32.4,26.7,25.2,29.9,30.6,30.5,30,32.2,33.8,35.7,33.4,28.1,36.2,30.7,32.7,30.3,28.8,31.7
,6,,,,had lane jumped into,7,LD637,1522,m,E015_M,1.285,,C-23,31.190625,31.8,34.1,27.5,30,29.6,29.6,32.9,32.2,32.3,30.8,30.1,30.3,30.6,28.9,32.1,29.8,32.5,32,28.2,32.9,30.2,33.2,31.6,30.1,31.7,33,30.1,31.2,31.9,31.2,33,32.7
,7,,,,,8,LD592,1302,f,E014_M,1.274,,C-28,32.2,28,,32.8,28,30.2,29.5,,29,31.6,33.3,33.3,29.7,30.5,34,32.7,33.1,31.1,31.3,33.7,29.7,34.7,40.6,39.4,,,,,,,,,
,8,,,,,9,LD575,20,m,E012_M,1.143,,C-28,34.26363636,30.7,37.8,35.1,30.4,,34.5,31.2,40.3,,34.6,,35,,,39,32.2,28,36.1,35.3,33.4,31.6,,,,35.8,,35.2,34.9,,35.3,33.9,33.5
7/10/20,1,8/10/20,,,,2,LD626,3224,f,E008_M,1.682,,A-23,31.16,30.9,32.8,32.9,27.5,30.8,30.8,28,29.8,28.7,28.3,31.8,30.1,33.5,33.1,,,,34.1,30.6,,,31.2,,33,33.2,32.5,32.4,,30.8,33.7,32.2,26.3
,2,,,,,3,LD619,2022,m,E010_M,0.991,,A-23,33.11111111,,32,,35.2,27.5,29.3,29.5,29.8,,33.3,34.2,,,,,,33.7,34.3,33.9,,,,36.4,36.5,33.9,,,34.7,33.7,33.6,,34.5
,3,,,,may have eggs,4,LD629,4223,f,E010_M,2.024,,A-28,30.209375,31.7,30.2,29.2,30,31.4,30.2,28.4,30.9,29.9,29.1,31.4,31,32.8,27.7,31,31.6,32.1,30.9,33.7,31.3,28.4,30.8,31.9,31.6,22.8,34.2,29.6,31.8,29.8,18.8,31.6,30.9
,4,,,,,5,LD584,1150,m,E014_M,1.105,,C-28,33.07096774,28.2,37.9,35.3,34.4,32.9,30.7,,30.7,34.6,33.2,32.7,34.2,33.4,34.2,34.7,35.7,32.8,34,34,29.3,33.4,34.2,25.1,33.5,35.3,34.3,33.7,32.3,30.4,32.6,33.2,34.3
,5,,,,,6,LD598,3305,f,E018_M,1.626,,C-23,32.3625,38.1,33,32.3,34.7,25.4,34.3,32,33.9,32.9,31.6,32.9,31.7,30.7,30,32.9,31.6,30.2,30.6,31.1,30,32.5,33.4,33.3,32.1,34.7,35.1,31.5,34.3,32.1,28.1,33.4,35.2
