lizard_ID,species,mass,temp_trt,yolk_trt,overall_trt,mean_temp,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8,temp_9,temp_10,temp_11,temp_12,temp_13,temp_14,temp_15,temp_16,temp_17,temp_18,temp_19,temp_20,temp_21,temp_22,temp_23,temp_24,temp_25,temp_26,temp_27,temp_28,temp_29,temp_30,temp_31,temp_32
LD021_20,delicata,0.602,23,A,A23,31,36.4,27.3,35.6,38.2,,,,,,,,,,,,,,,,,29.2,,,,,19.3,,,,,,
LD046_20,delicata,0.315,28,A,A28,28.9875,,,30.4,,23.6,,,,32.2,,25.3,26,,,,32.4,,,,,,,,,,,34.6,,,,27.4,
LD027_20,delicata,0.398,23,C,C23,28.51111111,29.9,31.4,,29.2,35,38.9,29.4,26.2,20.9,21.3,25.4,25.5,27.1,33.7,27.2,30.4,29.1,30.1,30.2,30.3,30.6,30.7,29.9,27.2,27.4,,,,21,,22.8,29
LD157_20,delicata,0.367,28,C,C28,33.54814815,33.6,24.6,32.1,32.1,,47.3,33,,37.9,34.6,32.5,33,27.4,27.2,35.3,35.3,35.1,34,34.1,34.3,34.2,34.8,32.7,34.4,,,,30.7,35.3,33,34.7,32.6
LG028_20,guichenoti,0.473,23,A,A23,32.321875,30.9,28.8,28.8,34.4,28.2,36.1,32.4,35.2,34.8,34.8,33.2,32.9,33.5,28.9,30,33.5,31.5,31.2,34.4,31.5,28.7,37.4,30.9,31.9,33.1,35.6,33.4,29.6,33.7,34.1,29.9,31
LG067_20,guichenoti,0.498,28,A,A28,30.875,31.5,28.6,34.6,32.7,34.1,33.1,29.9,35.1,28.2,28.5,29,30.2,28.2,32.8,31.5,36.3,29.3,32.1,32.8,31.5,31.9,29.5,28.3,31.1,29.8,27.9,28.8,29.3,30.4,29.5,30,31.5
LG029_20,guichenoti,0.391,23,C,C23,33.259375,32.6,32.9,28.6,34.9,36.6,33.8,34.4,35,33.4,32.4,33.6,37.4,34.4,34.3,33.3,34.1,33.9,32.4,31.7,32.5,33.3,31.8,32.4,31.4,31.6,32.2,32.1,34.1,33,32.5,35.4,32.3
LG055_20,guichenoti,0.495,28,C,C28,32.02068966,23.5,31.6,20,38.1,37,,33.8,36.2,29.7,35.4,31.1,34,32.3,32.6,32.9,34.1,,36.4,32.6,32.9,32.9,33.3,33.5,31.5,33.7,31.3,30.3,,29.8,30.1,29,29
LG101_20,guichenoti,0.478,28,C,C28,31.175,,,,31.8,,,32.3,,,,,,,,,,,,,,,,,,29.6,,,,,31,,
LG032_20,guichenoti,0.459,23,C,C23,34.9,37,39,,,,,,34.8,,,32,,,,,35.2,,,34.2,,,,,,,,32.1,,,,,
LG097_20,guichenoti,0.435,28,A,A28,33.43846154,23.4,37.6,34,34.6,33.3,33.9,,37,,34.9,35.1,36.2,,,,,,,,30.1,30.4,,,,,,,,,34.2,,
LG053_20,guichenoti,0.388,23,A,A23,33.62727273,30.1,,,35.9,,,,,33.1,,34.3,32.3,,,33.2,35.8,34.8,35,,33.1,32.3,,,,,,,,,,,
LD064_20,delicata,0.441,28,C,C28,31.5,22.5,33.7,32.2,32.1,36.9,,30.4,30.7,,,,30.5,,,29.8,29.7,26.6,35.5,26.8,,,33.8,31.6,31.2,32.1,36.2,33,33.9,32.7,29.9,32.7,
LD047_20,delicata,,23,C,C23,31.04137931,31.2,33.1,33.7,32.8,30.4,35,27.1,34.8,,31.5,30,30,30.1,30.4,28,35.7,27.8,29.9,30.9,31.8,32.3,30.4,30.9,30.5,34.4,29.3,27.7,30.4,29.2,30.9,,
LD061_20,delicata,0.542,28,A,A28,28.93548387,33,21.2,32.3,26,29.1,22.5,23.3,29.2,31.9,29.7,34.3,35.1,25.3,28.6,33.7,30.8,25.6,20.6,20.6,20.9,20.4,20.6,32.4,33.4,33.8,34.2,30.8,32.5,36.4,34.7,34.1,
LD050_20,delicata,0.37,23,A,A23,32.08571429,37,35.9,35.1,29.1,,29.9,28,29.8,,30.2,32.8,30.7,28.3,29.6,29.9,31.3,,32,32.4,29.1,34.2,32.6,31.3,32.6,36,31.5,30.5,33.7,34.1,36.2,34.6,
LG068_20,guichenoti,0.562,28,C,C28,32.55,16.2,,37,37.5,,32.9,,32.3,,32.7,,,35.2,36.6,,,,,,,,,,,,,,,,,,
LG135_20,guichenoti,0.498,28,C,C28,30.6,16.2,,31.6,33.4,,31.7,,,31.4,31.6,31.6,,36.6,31.3,,,,,,,,,,,,,,,,,,
LD183_20,delicata,0.482,28,A,A28,31.4375,26.5,26.8,32.3,29.2,34.6,,34.8,,,,35.9,,,31.4,,,,,,,,,,,,,,,,,,
LD074_20,delicata,0.305,23,A,A23,25.01818182,20.6,29.5,26.6,26,,,32.1,23.7,,25.9,21.2,21.2,21.3,27.1,,,,,,,,,,,,,,,,,,
LD192_20,delicata,0.336,28,C,C28,28.69230769,16.2,23.1,30.5,29,26.5,26.2,33,31.4,36,28.4,,30.2,30.7,31.8,,,,,,,,,,,,,,,,,,
LD065_20,delicata,0.528,23,C,C23,29.71818182,15.9,,33.7,33.1,27,38.2,27.6,30.8,26.2,36.6,,24.4,,33.4,,,,,,,,,,,,,,,,,,
LG088_20,guichenoti,0.392,23,A,A23,31.61538462,16,30.5,32.7,32.3,34.1,28.9,34.1,,36.2,32.8,32.8,33.6,34.1,32.9,,,,,,,,,,,,,,,,,,
